ref,title,author,lastRunTime,totalVotes
evgendvorkin/nemotron-3-nano-lora-adapter-submission,Nemotron-3 Nano: LoRA Adapter Submission,Дворкин Евгений Владимирович,2026-06-12 16:54:29.123000,25
nikitagajbhiye30/nvidia-cpu-00,NVIDIA CPU 00,Nikita,2026-06-12 14:07:11.857000,3
adilshamim8/nvidia-nemotron-model-reasoning-challenge-101,NVIDIA Nemotron Model Reasoning Challenge 101,Adil Shamim,2026-06-12 12:30:30.737000,32
vngnguynhuy/refine,Refine,Vương Nguyễn Huy,2026-06-12 10:19:07.273000,100
mirzayasirabdullah07/top-scorer-nvidia-nemotron-competition,Top Scorer: NVIDIA Nemotron Competition ,Mirza Yasir Abdullah Baig,2026-06-12 10:13:59.120000,113
amit393/nvidia-nemotron-score-0-83,NVIDIA Nemotron  score 0.83,Amit393,2026-06-12 09:52:13.777000,11
wethepeople918/nemotronloraforge,NemotronLoraForge,Nine1Eight,2026-06-12 08:43:40.430000,101
bayeshead/notebook834d2978c8,notebook834d2978c8,bayeshead,2026-06-12 02:44:40.283000,0
pajakchaithongchai/new-benchmark-task-e1e79,New Benchmark Task e1e79,PAJAKCHAI THONGCHAI,2026-06-11 22:47:59.570000,2
johnsonhk88/nvidia-nemotron-model-fine-tuning,Nvidia-Nemotron Model Fine Tuning,Johnson chong,2026-06-11 12:58:36.793000,2
nthday/exact,exact,Hảo Nguyễn Thanh,2026-06-11 11:48:14.487000,1
ayomide2000/finding-nemo,finding nemo,Ayomide2000,2026-06-11 11:27:06.410000,113
rauffauzanrambe/lora-nemo-pipeline-improve-modular-v2,LoRA NEMO Pipeline Improve Modular V2,Ra'uf Fauzan Rambe,2026-06-11 10:33:09.760000,26
kuangyicheng/nemotron-087-training,nemotron-087-training,AbsoluterGeist,2026-06-11 02:44:02.313000,70
varianceofx/synthetic-dataset-generator-27k,synthetic-dataset-generator-27k,varianceofx,2026-06-11 01:55:56.983000,10
shimoyamas/nvidia-nemotron-training,NVIDIA Nemotron - training,simo,2026-06-11 00:27:09.110000,1
vaibhav2kesri/try-custom-cot,Try custom CoT,vaibhav kesri,2026-06-10 18:17:30.970000,4
habanwer/nemotron-atlas,Nemotron ATLAS,Shehab Anwer,2026-06-10 12:25:49.260000,5
nguyenducdung1107/notebook-ex-colqwen-layout-rvq,[notebook-ex] colqwen layout  RVQ,NGUYEN DUC DUNG 1107,2026-06-10 06:49:37.987000,3
johnsmall11/jxg-bss-da5d9e,jxg-bss da5d9e,John Small11,2026-06-10 04:53:36.027000,1
thinam3/notebook-test-rvq-colpali-mmdocir-layout-level,[Notebook] test RVQ Colpali MMDocIR layout-level,Thái Nam(3),2026-06-09 18:39:16.227000,0
nguyenducdung1107/notebook-ex-colqwen-layout,[notebook-ex] colqwen layout ,NGUYEN DUC DUNG 1107,2026-06-09 15:00:55.567000,2
lopure/lora-adapter-ensembling-experiments,LoRa Adapter Ensembling Experiments,Who am I?,2026-06-09 10:09:34.490000,12
nicholas33/nb153-nvidia-nemotron-inference,NB153 || NVIDIA NEMOTRON INFERENCE,NikolAiD153,2026-06-09 04:07:10.130000,0
biohack44/nemotron-v62-d3-sparse-trust-finisher-attack,Nemotron v62 — D3 Sparse-Trust Finisher Attack,Emre Cirak,2026-06-08 19:58:47.177000,27
duongnguyen291/080626-slt-csl-abl-cpi-1l4h-geobias,080626-SLT-CSL-Abl-CPI-1L4H-GeoBias,duongnguyen291,2026-06-08 15:23:25.467000,2
thinam3/notebook-rvq-colpali-mmdocir-layout-level,[Notebook] RVQ Colpali MMDocIR layout-level ,Thái Nam(3),2026-06-08 12:03:46.370000,0
debatreyabiswas/nemotroncomp-best0-86-solution-nvidia-under-5min,NemotronCOMP best0.86+ solution NVIDIA(under 5min),Debatreya Biswas,2026-06-08 10:13:21.160000,106
denglonghang/nemotron-tinker-noop-bridge-v20,Nemotron Tinker Noop Bridge V20,Codex_PRO,2026-06-08 07:28:51.987000,6
xuanhuydinh/machinetranslatelstm,MachineTranslateLSTM,Xuan Huy Dinh,2026-06-08 06:52:23.620000,1
dhanushbe06/class-tagging,class tagging,Dhanush BE,2026-06-08 06:49:55.037000,0
lopure/amplify-top-50-singular-value-retain-84-4-energy,Amplify Top 50% singular value&retain 84.4% Energy,Who am I?,2026-06-08 05:52:46.693000,105
ththunyhunh/bai5-al-b10,BAI5_AL_B10,Thị Thu Ny Huỳnh,2026-06-08 04:13:49.423000,1
fatmaanalytics/nemotron-reasoning-bit-serial-chain-of-thought,Nemotron Reasoning: Bit-Serial Chain-of-Thought,Fatma  ANALYTICS,2026-06-07 22:39:29.990000,0
matthewblakeward/lossless,Lossless,Matthew Blake Ward,2026-06-07 19:22:28.697000,55
camvsfd/notebook-encode-mmdoci-page,[Notebook] Encode_MMDocI_Page,cóa má,2026-06-07 18:39:06.913000,0
nguyenducdung1107/notebook-ex-colsmol500layoutrvq, [notebook-ex]Colsmol500layoutRVQ,NGUYEN DUC DUNG 1107,2026-06-07 17:56:34.147000,3
huyvunguyennnn/6-03-phamcuongg,6-03-phamcuongg,Huy vũ Nguyễn,2026-06-07 16:43:17.973000,1
ththunyhunh/bai-5-al-dd,BAI_5_AL_dd,Thị Thu Ny Huỳnh,2026-06-07 15:45:51.173000,0
koushikrudra/nemotron-verify-finding-nemo,Nemotron Verify Finding Nemo,Koushik Rudra,2026-06-07 15:03:06.587000,25
jeffreypikeai/nemotron-model-evaluation,Nemotron: Model Evaluation,Jeffrey Pike,2026-06-07 12:38:42.263000,3
nguyenducdung1107/notebook-train-rvq-colsmol-vidore,[notebook] Train RVQ ColSmol ViDoRe,NGUYEN DUC DUNG 1107,2026-06-07 12:34:42.450000,0
krishnagupta02468/tinker-submission-notebook,Tinker submission notebook,KG,2026-06-07 09:05:11.357000,0
pkuszboi/grpo-nvidia-nemotron,GRPO-Nvidia-Nemotron,GUOHAOYANG,2026-06-07 04:14:34.527000,1
pranaydoijad/nemotron-v2,Nemotron‑v2,PranayDoijad,2026-06-06 16:39:10.393000,1
doijads/nemotron-dpo,Nemotron DPO ,Doijads,2026-06-06 14:40:34.850000,0
namthi/notebook-colsmol500layoutrvq-namtd, [Notebook]Colsmol500layoutRVQ_NamTD,Nam Thái,2026-06-06 12:15:45.700000,0
umerhaddii/nvidia-nemotron-n5,NVIDIA Nemotron - N5,Umer Haddii,2026-06-06 10:54:58.513000,19
jack12xl/tinker-adapter-to-ready-to-submit-adapter,Tinker Adapter to Ready To Submit Adapter,Jack12xl,2026-06-06 10:18:25.210000,15
suryatrainer/optmizn-check,Optmizn_Check,Surya_trainer,2026-06-06 07:53:43.903000,0
