Warning: Looks like you're using an outdated `kaggle` version (installed: 2.2.0), please consider upgrading to the latest version (2.2.2)
Next Page Token = CfDJ8Ih_VxHsLwdJhHStLnSaLO-g0sfGU2S_j0W5rVfrMNsX4gjM-OZIYPvHUz13FZGT7MgXM55mEa-znA50H566OgA
teamId,teamName,submissionDate,score
15452647,NullSira,2026-06-15 22:20:21.780000,0.920
15426953,vli,2026-06-15 14:17:23.180000,0.908
15592025,YS-L,2026-06-15 19:40:01.730000,0.900
15641463,/make-no-mistakes,2026-06-15 19:41:11.830000,0.900
15418537,Domdolus Tolus,2026-06-15 18:44:17.150000,0.896
15418984,Alehandreus & Yurnero,2026-06-15 22:27:57.720000,0.896
15505157,Solved Bit Manipulation,2026-06-15 20:13:28.160000,0.888
15623246,Researcher 7919,2026-06-15 21:57:22.100000,0.888
15429334,Fate,2026-06-15 18:30:51.183000,0.884
15419091,kansai-kanto-kaggler,2026-06-15 18:51:11.590000,0.880
15420330,Hello World,2026-06-10 18:22:19.253000,0.872
15420570,Team,2026-06-15 16:48:40.423000,0.872
15527623,Haraguchi-T,2026-06-15 23:11:17.930000,0.872
15511266,TaiDoDuc,2026-06-15 03:11:45.630000,0.872
15453954,MAJ0RT0M,2026-06-15 22:02:44.973000,0.872
15428538,toxu,2026-06-03 03:34:36.120000,0.868
15854510,Frank Yang,2026-05-18 14:38:29.023000,0.868
15416656,Y | M | F,2026-06-13 08:21:06.183000,0.868
15899073,Ryuto Yoda,2026-06-15 12:48:34.266000,0.868
15480884,T T,2026-06-14 12:36:05.773000,0.868
